%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
iLLUB,X0004.0,level central lubrication,
MDRN_P01,F0002.7,P01:dry run check signal,
MINC_P01,F0003.0,P01:mode incremental feed,
MH_P01,F0003.1,P01:mode handle,
MJ_P01,F0003.2,P01:jog feed sel. check signal,
MMDI_P01,F0003.3,P01:mode mdi selected,
MRMT_P01,F0003.4,P01:dnc operation,
MMEM_P01,F0003.5,P01:mode memory operation,
MEDT_P01,F0003.6,P01:mode edit,
MTCHIN_P01,F0003.7,P01:teach in sel. check signal,
MBDT1_P01,F0004.0,P01:blk skip btd1 check signal,
MMLK_P01,F0004.1,P01:all axis lock check signal,
MSBK_P01,F0004.3,P01:single block check signal,
MAFL_P01,F0004.4,P01:aux. funct. lock check,
MREF_P01,F0004.5,P01:mode manual ref. return,
MBDT2_P01,F0005.0,P01:skip block signal mbdt2,
B_RST_P01,F0006.1,P01:button reset,
MF_P01,F0007.0,P01:m-function strobe signal,
SF_P01,F0007.2,P01:spindle strobe signal,
TF_P01,F0007.3,P01:tool function strobe,
BF_P01,F0007.7,P01:2nd aux. function strobe,
MF2_P01,F0008.4,P01:2nd m function strobe,
MF3_P01,F0008.5,P01:3rd m function strobe,
MF4_P01,F0008.6,P01:4th m-function strobe,
MF5_P01,F0008.7,P01:5th m-function strobe,
FSCSL_P01,F0044.1,P01:Cs contour ctrl active,
ALMA_P01,F0045.0,P01:alm signal serial spindle,
SSTA_P01,F0045.1,P01:spindle speed zero,
SARA_P01,F0045.3,P01:sp speed arrival signal,
ORARA_P01,F0045.7,P01:orient. completion signal,
EXOFA_P01,F0047.4,spindle exitation off,
OUT0_P01,F0072.0,P01:sop: emergency stop,
OUT1_P01,F0072.1,P01:sop: external reset,
OUT2_P01,F0072.2,P01:sop: nc start,
OUT3_P01,F0072.3,P01:sop: dnc mode,
OUT4_P01,F0072.4,P01:sop: optional stop m01,
OUT5_P01,F0072.5,P01:sop: coolant on,
OUT6_P01,F0072.6,P01:sop: spindle on,
OUT7_P01,F0072.7,P01:sop: spindle ccw,
MD1O_P01,F0073.0,P01:sop: signal md1,
MD2O_P01,F0073.1,P01:sop: signal md2,
MD4O_P01,F0073.2,P01:sop: signal md4,
ZRNO_P01,F0073.4,P01:sop: signal zrn,
BDTO_P01,F0075.2,P01:sop: optional block skip,
SBKO_P01,F0075.3,P01:sop: single block,
MLKO_P01,F0075.4,P01:sop: machine lock,
DRNO_P01,F0075.5,P01:sop: dry run,
KEYO,F0075.6,:sop: protect key,
SPO_P01,F0075.7,P01:sop: feed hold,
MP1O_P01,F0076.0,P01:sop: hd feed magnific. mp1,
MP2O_P01,F0076.1,P01:sop: hd feed magnific. mp2,
RTAP_P01,F0076.3,P01:rigid tapping in progress,
ROV1O_P01,F0076.4,P01:sop: rapid traverse rov1,
ROV2O_P01,F0076.5,P01:sop: rapid traverse rov2,
HS1AO_P01,F0077.0,P01:sop: hd axis sel. signal1,
HS1BO_P01,F0077.1,P01:sop: hd axis sel. signal2,
HS1CO_P01,F0077.2,P01:sop: hd axis sel. signal3,
HS1DO_P01,F0077.3,P01:sop: hd axis sel. signal4,
RTO_P01,F0077.6,P01:sop: manual rapid traverse,
J1O+_P01,F0081.0,P01:sop: 1st axis + direction,
J1O-_P01,F0081.1,P01:sop: 1st axis - direction,
J2O+_P01,F0081.2,P01:sop: 2nd axis + direction,
J2O-_P01,F0081.3,P01:sop: 2nd axis - direction,
J3O+_P01,F0081.4,P01:sop: 3rd axis + direction,
J3O-_P01,F0081.5,P01:sop: 3rd axis - direction,
J4O+_P01,F0081.6,P01:sop: 4th axis + direction,
J4O-_P01,F0081.7,P01:sop: 4th axis - direction,
ZP1_P01,F0094.0,P01:ref position 1st axis,
ZP2_P01,F0094.1,P01:ref position 2nd axis,
ZP3_P01,F0094.2,P01:ref position 3rd axis,
ZP4_P01,F0094.3,P01:ref position 4th axis,
ZP5_P01,F0094.4,P01:ref position 5th axis,
ZP6_P01,F0094.5,P01:ref position 6th axis,
ZP7_P01,F0094.6,P01:ref position 7th axis,
ZP8_P01,F0094.7,P01:ref position 8th axis,
MV1_P01,F0102.0,P01:1st axis moving signal,
MV2_P01,F0102.1,P01:2nd axis moving signal,
MV3_P01,F0102.2,P01:3rd axis moving signal,
MV4_P01,F0102.3,P01:4th axis moving signal,
MV5_P01,F0102.4,P01:5th axis moving signal,
MV6_P01,F0102.5,P01:6th axis moving signal,
MV7_P01,F0102.6,P01:7th axis moving signal,
MV8_P01,F0102.7,P01:8th axis moving signal,
INP1_P01,F0104.0,P01:1st axis in-pos. signal,
INP2_P01,F0104.1,P01:2nd axis in-pos. signal,
INP3_P01,F0104.2,P01:3rd axis in-pos. signal,
INP4_P01,F0104.3,P01:4th axis in-pos. signal,
INP5_P01,F0104.4,P01:5th axis in-pos. signal,
INP6_P01,F0104.5,P01:6th axis in-pos. signal,
INP7_P01,F0104.6,P01:7th axis in-pos. signal,
INP8_P01,F0104.7,P01:8th axis in-pos. signal,
MVD1_P01,F0106.0,P01:1st axis moving dir.-,
MVD2_P01,F0106.1,P01:2nd axis moving dir.-,
MVD3_P01,F0106.2,P01:3rd axis moving dir.-,
MVD4_P01,F0106.3,P01:4th axis moving dir.-,
MVD5_P01,F0106.4,P01:5th axis moving dir.-,
MVD6_P01,F0106.5,P01:6th axis moving dir.-,
MVD7_P01,F0106.6,P01:7th axis moving dir.-,
MVD8_P01,F0106.7,P01:8th axis moving dir.-,
ZRF1_P01,F0120.0,P01:1st axis referenced,
ZRF2_P01,F0120.1,P01:2nd axis referenced,
ZRF3_P01,F0120.2,P01:3rd axis referenced,
ZRF4_P01,F0120.3,P01:4th axis referenced,
ZRF5_P01,F0120.4,P01:5th axis referenced,
ZRF6_P01,F0120.5,P01:6th axis referenced,
ZRF7_P01,F0120.6,P01:7th axis referenced,
ZRF8_P01,F0120.7,P01:8th axis referenced,
SA1_P01,F0186.0,P01:1st axis servo ready,
SA2_P01,F0186.1,P01:2nd axis servo ready,
SA3_P01,F0186.2,P01:3rd axis servo ready,
SA4_P01,F0186.3,P01:4th axis servo ready,
SA5_P01,F0186.4,P01:5th axis servo ready,
SA6_P01,F0186.5,P01:6th axis servo ready,
SA7_P01,F0186.6,P01:7th axis servo ready,
SA8_P01,F0186.7,P01:8th axis servo ready,
WPSF1_P01,F0358.0,P01:wp coord preset fin 1st ax,
WPSF2_P01,F0358.1,P01:wp coord preset fin 2nd ax,
WPSF3_P01,F0358.2,P01:wp coord preset fin 3rd ax,
WPSF4_P01,F0358.3,P01:wp coord preset fin 4th ax,
WPSF5_P01,F0358.4,P01:wp coord preset fin 5th ax,
WPSF6_P01,F0358.5,P01:wp coord preset fin 6th ax,
WPSF7_P01,F0358.6,P01:wp coord preset fin 7th ax,
WPSF8_P01,F0358.7,P01:wp coord preset fin 8th ax,
MCEXE_P01,F0512.0,P01:macro call exec. signal,
MCRQ_P01,F0512.1,P01:mode change req. signal,
MCSP_P01,F0512.2,P01:abnormal end signal,
MD1R_P01,F0513.0,P01:mode notification 1,
MD2R_P01,F0513.1,P01:mode notification 2,
MD4R_P01,F0513.2,P01:mode notification 4,
DNCIR_P01,F0513.5,P01:DNC notification,
ZRNR_P01,F0513.7,P01:ZRN notification,
MCEX1_P01,F0514.0,P01:macro 1 in progress,
MCEX2_P01,F0514.1,P01:macro 2 in progress,
MCEX3_P01,F0514.2,P01:macro 3 in progress,
MCEX4_P01,F0514.3,P01:macro 4 in progress,
SVD001_P01,F0688.0,P01:1st axis brake ctrl mode,
SVD002_P01,F0688.1,P01:2nd axis brake ctrl mode,
SVD003_P01,F0688.2,P01:3rd axis brake ctrl mode,
SVD004_P01,F0688.3,P01:4th axis brake ctrl mode,
SVD005_P01,F0688.4,P01:5th axis brake ctrl mode,
SVD006_P01,F0688.5,P01:6th axis brake ctrl mode,
SVD007_P01,F0688.6,P01:7th axis brake ctrl mode,
SVD008_P01,F0688.7,P01:8th axis brake ctrl mode,
RWD_P02,F1000.0,P02:rewinding signal,
SPL_P02,F1000.4,P02:feed hold lamp signal,
STL_P02,F1000.5,P02:cycle start lamp signal,
SA_P02,F1000.6,P02:servo ready signal,
OP_P02,F1000.7,P02:automatic operation lamp,
AL_P02,F1001.0,P02:alarm signal,
RST_P02,F1001.1,P02:resetting signal,
BAL_P02,F1001.2,P02:battery alarm signal,
DEN_P02,F1001.3,P02:distribution end signal,
MA_P02,F1001.7,P02:cnc ready signal,
MDRN_P02,F1002.7,P02:dry run check signal,
MINC_P02,F1003.0,P02:mode incremental feed,
MH_P02,F1003.1,P02:mode handle,
MJ_P02,F1003.2,P02:jog feed sel. check signal,
MMDI_P02,F1003.3,P02:mode mdi selected,
MRMT_P02,F1003.4,P02:dnc operation,
MMEM_P02,F1003.5,P02:mode memory operation,
MEDT_P02,F1003.6,P02:mode edit,
MTCHIN_P02,F1003.7,P02:teach in sel. check signal,
MBDT1_P02,F1004.0,P02:blk skip btd1 check signal,
MMLK_P02,F1004.1,P02:all axis lock check signal,
MSBK_P02,F1004.3,P02:single block check signal,
MAFL_P02,F1004.4,P02:aux. funct. lock check,
MREF_P02,F1004.5,P02:mode manual ref. return,
MBDT2_P02,F1005.0,P02:skip block signal mbdt2,
B_RST_P02,F1006.1,P02:button reset,
MF_P02,F1007.0,P02:m-function strobe signal,
SF_P02,F1007.2,P02:spindle strobe signal,
TF_P02,F1007.3,P02:tool function strobe,
BF_P02,F1007.7,P02:2nd aux. function strobe,
MF2_P02,F1008.4,P02:2nd m function strobe,
MF3_P02,F1008.5,P02:3rd m function strobe,
MF4_P02,F1008.6,P02:4th m-function strobe,
MF5_P02,F1008.7,P02:5th m-function strobe,
OUT0_P02,F1072.0,P02:sop: emergency stop,
OUT1_P02,F1072.1,P02:sop: external reset,
OUT2_P02,F1072.2,P02:sop: nc start,
OUT3_P02,F1072.3,P02:sop: dnc mode,
OUT4_P02,F1072.4,P02:sop: optional stop m01,
OUT5_P02,F1072.5,P02:sop: coolant on,
OUT6_P02,F1072.6,P02:sop: spindle on,
OUT7_P02,F1072.7,P02:sop: spindle ccw,
MD1O_P02,F1073.0,P02:sop: signal md1,
MD2O_P02,F1073.1,P02:sop: signal md2,
MD4O_P02,F1073.2,P02:sop: signal md4,
ZRNO_P02,F1073.4,P02:sop: signal zrn,
BDTO_P02,F1075.2,P02:sop: optional block skip,
SBKO_P02,F1075.3,P02:sop: single block,
MLKO_P02,F1075.4,P02:sop: machine lock,
DRNO_P02,F1075.5,P02:sop: dry run,
SPO_P02,F1075.7,P02:sop: feed hold,
MP1O_P02,F1076.0,P02:sop: hd feed magnific. mp1,
MP2O_P02,F1076.1,P02:sop: hd feed magnific. mp2,
ROV1O_P02,F1076.4,P02:sop: rapid traverse rov1,
ROV2O_P02,F1076.5,P02:sop: rapid traverse rov2,
HS1AO_P02,F1077.0,P02:sop: hd axis sel. signal1,
HS1BO_P02,F1077.1,P02:sop: hd axis sel. signal2,
HS1CO_P02,F1077.2,P02:sop: hd axis sel. signal3,
HS1DO_P02,F1077.3,P02:sop: hd axis sel. signal4,
RTO_P02,F1077.6,P02:sop: manual rapid traverse,
J1O+_P02,F1081.0,P02:sop: 1st axis + direction,
J1O-_P02,F1081.1,P02:sop: 1st axis - direction,
J2O+_P02,F1081.2,P02:sop: 2nd axis + direction,
J2O-_P02,F1081.3,P02:sop: 2nd axis - direction,
J3O+_P02,F1081.4,P02:sop: 3rd axis + direction,
J3O-_P02,F1081.5,P02:sop: 3rd axis - direction,
J4O+_P02,F1081.6,P02:sop: 4th axis + direction,
J4O-_P02,F1081.7,P02:sop: 4th axis - direction,
ZP1_P02,F1094.0,P02:ref position 1st axis,
ZP2_P02,F1094.1,P02:ref position 2nd axis,
ZP3_P02,F1094.2,P02:ref position 3rd axis,
ZP4_P02,F1094.3,P02:ref position 4th axis,
ZP5_P02,F1094.4,P02:ref position 5th axis,
ZP6_P02,F1094.5,P02:ref position 6th axis,
ZP7_P02,F1094.6,P02:ref position 7th axis,
ZP8_P02,F1094.7,P02:ref position 8th axis,
MV1_P02,F1102.0,P02:1st axis moving signal,
MV2_P02,F1102.1,P02:2nd axis moving signal,
MV3_P02,F1102.2,P02:3rd axis moving signal,
MV4_P02,F1102.3,P02:4th axis moving signal,
MV5_P02,F1102.4,P02:5th axis moving signal,
MV6_P02,F1102.5,P02:6th axis moving signal,
MV7_P02,F1102.6,P02:7th axis moving signal,
MV8_P02,F1102.7,P02:8th axis moving signal,
INP1_P02,F1104.0,P02:1st axis in-pos. signal,
INP2_P02,F1104.1,P02:2nd axis in-pos. signal,
INP3_P02,F1104.2,P02:3rd axis in-pos. signal,
INP4_P02,F1104.3,P02:4th axis in-pos. signal,
INP5_P02,F1104.4,P02:5th axis in-pos. signal,
INP6_P02,F1104.5,P02:6th axis in-pos. signal,
INP7_P02,F1104.6,P02:7th axis in-pos. signal,
INP8_P02,F1104.7,P02:8th axis in-pos. signal,
MVD1_P02,F1106.0,P02:1st axis moving dir.-,
MVD2_P02,F1106.1,P02:2nd axis moving dir.-,
MVD3_P02,F1106.2,P02:3rd axis moving dir.-,
MVD4_P02,F1106.3,P02:4th axis moving dir.-,
MVD5_P02,F1106.4,P02:5th axis moving dir.-,
MVD6_P02,F1106.5,P02:6th axis moving dir.-,
MVD7_P02,F1106.6,P02:7th axis moving dir.-,
MVD8_P02,F1106.7,P02:8th axis moving dir.-,
ZRF1_P02,F1120.0,P02:1st axis referenced,
ZRF2_P02,F1120.1,P02:2nd axis referenced,
ZRF3_P02,F1120.2,P02:3rd axis referenced,
ZRF4_P02,F1120.3,P02:4th axis referenced,
ZRF5_P02,F1120.4,P02:5th axis referenced,
ZRF6_P02,F1120.5,P02:6th axis referenced,
ZRF7_P02,F1120.6,P02:7th axis referenced,
ZRF8_P02,F1120.7,P02:8th axis referenced,
EACNT6_P02,F1182.5,P02:6th axis sel. status sig.,
SA1_P02,F1186.0,P02:1st axis servo ready,
SA2_P02,F1186.1,P02:2nd axis servo ready,
SA3_P02,F1186.2,P02:3rd axis servo ready,
SA4_P02,F1186.3,P02:4th axis servo ready,
SA5_P02,F1186.4,P02:5th axis servo ready,
SA6_P02,F1186.5,P02:6th axis servo ready,
SA7_P02,F1186.6,P02:7th axis servo ready,
SA8_P02,F1186.7,P02:8th axis servo ready,
WPSF1_P02,F1358.0,P02:wp coord preset fin 1st ax,
WPSF2_P02,F1358.1,P02:wp coord preset fin 2nd ax,
WPSF3_P02,F1358.2,P02:wp coord preset fin 3rd ax,
WPSF4_P02,F1358.3,P02:wp coord preset fin 4th ax,
WPSF5_P02,F1358.4,P02:wp coord preset fin 5th ax,
WPSF6_P02,F1358.5,P02:wp coord preset fin 6th ax,
WPSF7_P02,F1358.6,P02:wp coord preset fin 7th ax,
WPSF8_P02,F1358.7,P02:wp coord preset fin 8th ax,
MCEXE_P02,F1512.0,P02:macro call exec. signal,
MCRQ_P02,F1512.1,P02:mode change req. signal,
MCSP_P02,F1512.2,P02:abnormal end signal,
MD1R_P02,F1513.0,P02:mode notification 1,
MD2R_P02,F1513.1,P02:mode notification 2,
MD4R_P02,F1513.2,P02:mode notification 4,
DNCIR_P02,F1513.5,P02:DNC notification,
ZRNR_P02,F1513.7,P02:ZRN notification,
MCEX1_P02,F1514.0,P02:macro 1 in progress,
MCEX2_P02,F1514.1,P02:macro 2 in progress,
MCEX3_P02,F1514.2,P02:macro 3 in progress,
MCEX4_P02,F1514.3,P02:macro 4 in progress,
SVD001_P02,F1688.0,P02:1st axis brake ctrl mode,
SVD002_P02,F1688.1,P02:2nd axis brake ctrl mode,
SVD003_P02,F1688.2,P02:3rd axis brake ctrl mode,
SVD004_P02,F1688.3,P02:4th axis brake ctrl mode,
SVD005_P02,F1688.4,P02:5th axis brake ctrl mode,
SVD006_P02,F1688.5,P02:6th axis brake ctrl mode,
SVD007_P02,F1688.6,P02:7th axis brake ctrl mode,
SVD008_P02,F1688.7,P02:8th axis brake ctrl mode,
MFIN2_P01,G0004.4,P01:2nd m funct. compl. signal,
MFIN3_P01,G0004.5,P01:3rd m funct. compl. signal,
MFIN4_P01,G0004.6,P01:4th m-funct. compl. signal,
MFIN5_P01,G0004.7,P01:5th m-funct. compl. signal,
MFIN_P01,G0005.0,P01:aux. funct. compl. signal,
SFIN_P01,G0005.2,P01:sp function compl. signal,
TFIN_P01,G0005.3,P01:tool function completion,
AFL_P01,G0005.6,P01:auxiliary function lock,
BFIN_P01,G0005.7,P01:2nd aux compl. signal,
SRN_P01,G0006.0,P01:program restart signal,
OVC_P01,G0006.4,P01:override cancel signal,
ST_P01,G0007.2,P01:cycle start signal,
*FLWU_P01,G0007.5,P01:follow-up signal,
*IT_P01,G0008.0,P01:all axis interlock signal,
*CSL_P01,G0008.1,P01:cutting block start lock,
*BSL_P01,G0008.3,P01:block start lock signal,
*ESP_P01,G0008.4,P01:emergency stop signal,
*SP_P01,G0008.5,P01:feed hold signal,
RRW_P01,G0008.6,P01:reset and rewind signal,
ERS_P01,G0008.7,P01:external reset signal,
HS1A_P01,G0018.0,P01:handwheel sel. signal 1,
HS1B_P01,G0018.1,P01:handwheel sel. signal 2,
HS1C_P01,G0018.2,P01:handwheel sel. signal 3,
HS1D_P01,G0018.3,P01:handwheel sel. signal 4,
MP1_P01,G0019.4,P01:increment feed1,
MP2_P01,G0019.5,P01:increment feed2,
RT_P01,G0019.7,P01:rapid traverse select.,
HCLP_P01,G0023.3,P01:pulse gen. max. feed sel.,
CON_P01,G0027.7,P01:Cs contour ctrl on,
SAR_P01,G0029.4,P01:spindle speed arrival,
*SSTP_P01,G0029.6,P01:spindle stop signal,
SIND_P01,G0033.7,P01:spindle mode select signal,
MD1_P01,G0043.0,P01:mode selection signal 1,
MD2_P01,G0043.1,P01:mode selection signal 2,
MD4_P01,G0043.2,P01:mode selection signal 4,
DNCI_P01,G0043.5,P01:dnc selection signal,
ZRN_P01,G0043.7,P01:ref. pos. select sign.,
BDT1_P01,G0044.0,P01:skip block (bdt1),
MLK_P01,G0044.1,P01:all axis machine lock,
BDT2_P01,G0045.0,P01:skip block signal (bdt2),
SBK_P01,G0046.1,P01:single block signal,
KEY1,G0046.3,memory protect signal key1,
KEY2,G0046.4,memory protect signal key2,
KEY3,G0046.5,memory protect signal key3,
KEY4,G0046.6,memory protect signal key4,
DRN_P01,G0046.7,P01:dry run signal,
UI000_P01,G0054.0,P01:custom macro #1000,
RGTAP_P01,G0061.0,P01:rigid tapping signal,
HEAD2,G0062.7,path selection signal 2,
HEAD,G0063.0,path selection signal 1,
IGNVRY_P01,G0066.0,P01:ignore servo ready,
SRVA_P01,G0070.4,P01:ccw command signal,
SFRA_P01,G0070.5,P01:cw command signal,
ORCMA_P01,G0070.6,P01:orientation command signal,
MRDYA_P01,G0070.7,P01:machine ready signal,
ARSTA_P01,G0071.0,P01:alarm reset signal,
*ESPA_P01,G0071.1,P01:emergency stop spindle,
SOGNA_P01,G0071.4,P01:soft start/stop signal,
INDXA_P01,G0072.0,P01:orient stop pos. change,
J1+_P01,G0100.0,P01:feed 1st axis + direction,
J2+_P01,G0100.1,P01:feed 2nd axis + direction,
J3+_P01,G0100.2,P01:feed 3rd axis + direction,
J4+_P01,G0100.3,P01:feed 4th axis + direction,
J5+_P01,G0100.4,P01:feed 5th axis + direction,
J6+_P01,G0100.5,P01:feed 6th axis + direction,
J7+_P01,G0100.6,P01:feed 7th axis + direction,
J8+_P01,G0100.7,P01:feed 8th axis + direction,
J1-_P01,G0102.0,P01:feed 1st axis -direction,
J2-_P01,G0102.1,P01:feed 2nd axis - direction,
J3-_P01,G0102.2,P01:feed 3rd axis - direction,
J4-_P01,G0102.3,P01:feed 4th axis - direction,
J5-_P01,G0102.4,P01:feed 5th axis - direction,
J6-_P01,G0102.5,P01:feed 6th axis - direction,
J7-_P01,G0102.6,P01:feed 7th axis - direction,
J8-_P01,G0102.7,P01:feed 8th axis - direction,
*+L1_P01,G0114.0,P01:overtravel + 1st axis,
*+L2_P01,G0114.1,P01:overtravel + 2nd axis,
*+L3_P01,G0114.2,P01:overtravel + 3rd axis,
*+L4_P01,G0114.3,P01:overtravel + 4th axis,
*+L5_P01,G0114.4,P01:overtravel + 5th axis,
*+L6_P01,G0114.5,P01:overtravel + 6th axis,
*+L7_P01,G0114.6,P01:overtravel + 7th axis,
*+L8_P01,G0114.7,P01:overtravel + 8th axis,
*-L1_P01,G0116.0,P01:overtravel - 1st axis,
*-L2_P01,G0116.1,P01:overtravel - 2nd axis,
*-L3_P01,G0116.2,P01:overtravel - 3rd axis,
*-L4_P01,G0116.3,P01:overtravel - 4th axis,
*-L5_P01,G0116.4,P01:overtravel - 5th axis,
*-L6_P01,G0116.5,P01:overtravel - 6th axis,
*-L7_P01,G0116.6,P01:overtravel - 7th axis,
*-L8_P01,G0116.7,P01:overtravel - 8th axis,
*+ED1_P01,G0118.0,P01:external dec. + 1st axis,
*+ED2_P01,G0118.1,P01:external dec. + 2st axis,
*+ED3_P01,G0118.2,P01:external dec. + 3rd axis,
*+ED4_P01,G0118.3,P01:external dec. + 4st axis,
*+ED5_P01,G0118.4,P01:external dec. + 5st axis,
*+ED6_P01,G0118.5,P01:external dec. + 6st axis,
*+ED7_P01,G0118.6,P01:external dec. + 7st axis,
*+ED8_P01,G0118.7,P01:external dec. + 8st axis,
*-ED1_P01,G0120.0,P01:external dec. - 1st axis,
*-ED2_P01,G0120.1,P01:external dec. - 2st axis,
*-ED3_P01,G0120.2,P01:external dec. - 3rd axis,
*-ED4_P01,G0120.3,P01:external dec. - 4st axis,
*-ED5_P01,G0120.4,P01:external dec. - 5st axis,
*-ED6_P01,G0120.5,P01:external dec. - 6st axis,
*-ED7_P01,G0120.6,P01:external dec. - 7st axis,
*-ED8_P01,G0120.7,P01:external dec. - 8st axis,
SVF1_P01,G0126.0,P01:servo off 1st axis,
SVF2_P01,G0126.1,P01:servo off 2nd axis,
SVF3_P01,G0126.2,P01:servo off 3rd axis,
SVF4_P01,G0126.3,P01:servo off 4th axis,
